corpus,claim,model,unit,n_items,K_full,frac_ceiling,frac_floor,n_items_mid,mean_y,phi_fullK_mom,phi_fullK_ssratio,phi_K6_mom,phi_K6_sd,phi_K6_mid_mom,phi_fullK_mid_mom,sigma2_item,sigma2_probe,sigma2_resid,n_clamped,design,seed_var,phi_broad_noisecorrected,subject
MoralChoice,behavioural-dilemma,openai_gpt-4,scenario,679,6,0.4491899852724595,0.1796759941089838,105,0.6693667157584683,0.016884600819069995,0.014539909818747272,0.016884600819069995,0.0,0.1512924142831764,0.1512924142831764,0.14357397004965658,0.003751250827247541,0.0748447236450156,0,single-sample,0.035983407251789605,,
MoralChoice,behavioural-dilemma,openai_gpt-4,scenario,679,6,0.4683357879234168,0.18556701030927836,140,0.6696524027709595,0.020231238702809178,0.01721872544248762,,,,0.20352572113751322,0.142342792676681,0.003836794096175843,0.04346743151095642,0,seed-averaged,0.035983407251789605,0.21148523462020383,
MoralChoice,behavioural-dilemma,openai_gpt-3.5-turbo,scenario,594,6,0.2895622895622896,0.14646464646464646,170,0.5813692480359147,0.025343121213598132,0.021918701543366427,0.025343121213598132,0.0,0.16469497605157996,0.16469497605157996,0.11883231793293625,0.006200093496327336,0.11961359898403182,0,single-sample,0.031772473666206634,,
MoralChoice,behavioural-dilemma,openai_gpt-3.5-turbo,scenario,594,6,0.30808080808080807,0.15993265993265993,206,0.5823605321290506,0.02572155355453979,0.022145794114953883,,,,0.1594635039649354,0.11998832579688877,0.005595552726311786,0.09195946365661833,0,seed-averaged,0.031772473666206634,0.41922920157355803,
MoralChoice,behavioural-dilemma,openai_text-davinci-003,scenario,678,6,0.03982300884955752,0.011799410029498525,163,0.6492133726647001,0.4078398777046571,0.36528629049697947,0.4078398777046571,0.0,0.39838731720650544,0.39838731720650544,0.059849762312475234,0.09970109323189677,0.08491050952129892,0,single-sample,0.010578442591684377,,
MoralChoice,behavioural-dilemma,openai_text-davinci-003,scenario,678,6,0.0471976401179941,0.014749262536873156,180,0.6496968207145198,0.4255539414849124,0.3823064202404676,,,,0.4444558362539633,0.06101950543372226,0.0999523613102129,0.07390402457419663,0,seed-averaged,0.010578442591684377,0.7311976397503286,
MoralChoice,behavioural-dilemma,openai_text-davinci-002,scenario,664,6,0.03614457831325301,0.03614457831325301,358,0.4907128514056225,0.3057579007059095,0.2692642111379877,0.3057579007059095,0.0,0.42334449810974006,0.42334449810974006,0.049943514631679065,0.08055116393174508,0.13295285213251193,0,single-sample,0.08449074074074074,,
MoralChoice,behavioural-dilemma,openai_text-davinci-002,scenario,664,6,0.018072289156626505,0.022590361445783132,467,0.48616629215273793,0.41689153184690475,0.37396315215119375,,,,0.5282660892379647,0.051602127041281115,0.07800379977434722,0.05750221478843905,0,seed-averaged,0.08449074074074074,0.6339000825822954,
MoralChoice,behavioural-dilemma,anthropic_claude-v1.3,scenario,637,6,0.23390894819466249,0.0565149136577708,245,0.6569858712715856,0.08450293828169518,0.07229243958163031,0.08450293828169518,0.0,0.21156380585020892,0.21156380585020892,0.06780966861829396,0.01932752781809386,0.14158299023528134,0,single-sample,0.12010611188920012,,
MoralChoice,behavioural-dilemma,anthropic_claude-v1.3,scenario,637,6,0.21350078492935637,0.03296703296703297,323,0.6615007724701601,0.15739365262204794,0.13522207323122262,,,,0.3619852773625796,0.06568786627348457,0.018907766805188943,0.035534794611396595,0,seed-averaged,0.12010611188920012,0.2532359171918616,
MoralChoice,behavioural-dilemma,anthropic_claude-instant-v1.1,scenario,679,6,0.3946980854197349,0.06921944035346098,201,0.6872852233676976,0.12045177000871533,0.10305786050684013,0.12045177000871533,0.0,0.5662192929898143,0.5662192929898143,0.09755380910385016,0.02643890387709383,0.09550513146900337,0,single-sample,0.02339742841581077,,
MoralChoice,behavioural-dilemma,anthropic_claude-instant-v1.1,scenario,679,6,0.4108983799705449,0.09720176730486009,230,0.6910864288441608,0.1308140397128914,0.11199446123953864,,,,0.5694396818347904,0.09934075434517153,0.02576812470604856,0.07187398886268301,0,seed-averaged,0.02339742841581077,0.4719325536787359,
MoralChoice,behavioural-dilemma,google_text-bison-001,scenario,647,6,0.21020092735703247,0.080370942812983,247,0.6112828438948995,0.03500289434442431,0.03018299809235609,0.03500289434442431,0.0,0.07296837243628661,0.07296837243628661,0.07899745271898724,0.008371733953485403,0.1518034334859788,0,single-sample,0.1392407124501131,,
MoralChoice,behavioural-dilemma,google_text-bison-001,scenario,647,6,0.19629057187017002,0.03863987635239567,340,0.618074159940466,0.05840674351450948,0.04956463737433152,,,,0.13233832085853436,0.07434451293128562,0.006522766604660907,0.03081103382594314,0,seed-averaged,0.1392407124501131,0.08493733165402924,
MoralChoice,behavioural-dilemma,google_flan-t5-xl,scenario,665,6,0.10827067669172932,0.14586466165413534,226,0.44110275689223055,0.011176228401645406,0.010140644109253978,0.011176228401645406,0.0,0.00214806841286927,0.00214806841286927,0.08635896971344025,0.002762327505510766,0.15803967750702055,0,single-sample,0.11885056800497977,,
MoralChoice,behavioural-dilemma,google_flan-t5-xl,scenario,665,6,0.039097744360902256,0.07969924812030076,271,0.4291190277280503,0.020181430764705535,0.017368295687205153,,,,0.009824811270675523,0.08381001868329159,0.002814173135601105,0.05281949621350863,0,seed-averaged,0.11885056800497977,0.2285048265555765,
MoralChoice,behavioural-dilemma,cohere_command-xlarge,scenario,546,6,0.07326007326007326,0.056776556776556776,287,0.525030525030525,0.07296078335720717,0.0627174627847193,0.07296078335720717,0.0,0.13501882732651965,0.13501882732651965,0.04917274366815653,0.018429277144873475,0.18498952627392992,0,single-sample,0.146838721599751,,
MoralChoice,behavioural-dilemma,cohere_command-xlarge,scenario,546,6,0.01282051282051282,0.01098901098901099,411,0.5218187346163536,0.16208898128641036,0.13968065585506825,,,,0.24288317724485436,0.04484739158149065,0.019822098836879496,0.057621973687101376,0,seed-averaged,0.146838721599751,0.3931290589714974,
MoralChoice,behavioural-dilemma,ai21_j2-jumbo-instruct,scenario,554,6,0.02888086642599278,0.032490974729241874,354,0.4969915764139591,0.05088173204421557,0.04408169885422338,0.05088173204421557,0.0,0.07145444355057018,0.07145444355057018,0.02347680195324485,0.012834272309664163,0.21592625717288697,0,single-sample,0.17795020901936057,,
MoralChoice,behavioural-dilemma,ai21_j2-jumbo-instruct,scenario,554,6,0.0018050541516245488,0.0036101083032490976,516,0.49579119152675105,0.16352306792915308,0.1410870253674959,,,,0.19070079713894222,0.023160381790004774,0.015238300826598088,0.054788786402753684,0,seed-averaged,0.17795020901936057,0.3695458819503568,
MoralChoice,behavioural-dilemma,bigscience_bloomz-7b1,scenario,636,6,0.026729559748427674,0.0440251572327044,428,0.4525681341719078,0.10525330791763718,0.09038465749536478,0.10525330791763718,0.0,0.13641620619389425,0.13641620619389425,0.022337278594892634,0.026551610293996275,0.20337501444394923,0,single-sample,0.16057701662016446,,
MoralChoice,behavioural-dilemma,bigscience_bloomz-7b1,scenario,636,6,0.0,0.0031446540880503146,569,0.45490863448803703,0.23049853012848226,0.20057223490844073,,,,0.2716095224854822,0.027424214866005128,0.02509556713033017,0.05635539007674319,0,seed-averaged,0.16057701662016446,0.45313869951843366,
MoralChoice,behavioural-dilemma,meta_opt-iml-max-small,scenario,646,6,0.04489164086687306,0.03560371517027864,388,0.5020639834881321,0.00828281021408174,0.008040939565150252,0.00828281021408174,0.0,0.013471783583756022,0.013471783583756022,0.030114159086727297,0.0020743834049327613,0.21825585395316835,0,single-sample,0.1672783418923125,,
MoralChoice,behavioural-dilemma,meta_opt-iml-max-small,scenario,646,6,0.0030959752321981426,0.0,548,0.49531600651956686,0.018744674176409425,0.01653861712124471,,,,0.02231372290083405,0.03191494340196954,0.0018804174357988361,0.06652206362647661,0,seed-averaged,0.1672783418923125,0.34836233954818735,
MoralChoice,behavioural-clear-answer,openai_gpt-4,scenario,687,6,0.9883551673944687,0.0,1,0.9978165938864629,0.003956927867151026,0.004457411459599655,0.003956927867151026,0.0,,,9.435256739418576e-05,8.628945443846109e-06,0.002077736896380511,0,single-sample,0.0011887433284813198,,
MoralChoice,behavioural-clear-answer,openai_gpt-4,scenario,687,6,0.9970887918486172,0.0,1,0.9982047549733141,0.007375661659993803,0.007269520917017494,,,,,6.408052927970932e-05,6.2128407195689334e-06,0.0007720501384167727,0,seed-averaged,0.0011887433284813198,0.6416792057393128,
MoralChoice,behavioural-clear-answer,openai_gpt-3.5-turbo,scenario,680,6,0.8235294117647058,0.0,12,0.967156862745098,0.0991772103811827,0.08514195368822391,0.0991772103811827,0.0,,,0.0010323717115712256,0.0032041063848219716,0.0280704034190996,0,single-sample,0.0051188743328481326,,
MoralChoice,behavioural-clear-answer,openai_gpt-3.5-turbo,scenario,680,6,0.8514705882352941,0.0,14,0.9681372549019608,0.11216782353639888,0.09633703639300363,,,,,0.001138259840018481,0.0030651534840740445,0.023123081810043605,0,seed-averaged,0.0051188743328481326,0.9208813755303986,
MoralChoice,behavioural-clear-answer,openai_text-davinci-003,scenario,686,6,0.41690962099125367,0.0,17,0.8979591836734694,0.5175182977375028,0.4726731601731602,0.5175182977375028,0.0,,,0.000485624906897066,0.051902562902116006,0.047903073638214395,0,single-sample,0.008323222518806116,,
